"","x"
"1",11.2888588017015
"2",11.8657032225994
"3",10.1356683607061
"4",10.2241637179043
"5",9.66988773990717
"6",9.60351605849124
"7",9.11551365151624
"8",9.04889647609268
"9",8.8491925514589
"10",8.89373510629716
"11",8.76059864782075
"12",8.76084457787458
"13",8.42795492154439
"14",8.64988215851587
"15",8.62746262539053
"16",8.71590849134557
"17",8.80469905181755
"18",8.80484643543137
"19",8.91556401485173
"20",8.98218162632149
"21",8.80450217696063
"22",9.04855265366813
"23",9.00450174091443
"24",9.02657614347664
"25",8.96000824127308
"26",9.0262811582259
"27",9.07087298628417
"28",9.00425559283751
"29",9.09304593528638
"30",9.09329164731712
"31",8.95976209319615
"32",8.84929000778342
"33",8.9600566424007
"34",9.00440275842823
"35",9.18183605971217
"36",9.09314448172639
"37",8.93788391142158
"38",8.89343968500023
"39",8.82701916641049
"40",8.98242668428293
"41",8.96005686042379
"42",8.98198387937218
"43",9.07052829176723
"44",9.09289811562637
"45",9.11512011982549
"46",9.09294717082328
"47",9.13729306882771
"48",9.18144274604452
"49",9.07072494860105
"50",9.15941718065612
